goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkChurn/chainyq.list.List-12                	63388093	        18.82 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	42141045	        26.58 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44097543	        26.40 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	43804572	        26.51 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44110510	        26.33 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	41133783	        26.23 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44945671	        26.62 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44930862	        26.74 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44115699	        27.38 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	35202796	        28.99 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurn/container.list.List-12              	44169610	        26.61 ns/op	      27 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	100000000	        10.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	121154040	         9.861 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	100000000	        10.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	100000000	        10.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	120858433	         9.824 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	100000000	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	120972692	         9.853 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	120052510	         9.864 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurnWithClear/chainyq.Deque-12           	121530493	         9.969 ns/op	       0 B/op	       0 allocs/op
